URL,company_name,sector,subsector,founded_year,hq_country,hq_state,hq_city,is_usa,n_investors,total_funding_usd
https://forgeglobal.com/mbx-biosciences_stock/,MBX Biosciences,Healthcare,Biotech & Pharma,2019,United States,IN,Carmel,True,0,216640000.0
https://forgeglobal.com/mcube_stock/,Movella,Industrial,Industrial Equipment,2009,United States,NV,Henderson,True,0,216630000.0
https://forgeglobal.com/mdlive_stock/,MDLIVE,Healthcare,Digital Health,2009,United States,FL,Miramar,True,0,
https://forgeglobal.com/measurabl_stock/,Measurabl,Real Estate,Real Estate Software,2013,United States,CA,San Diego,True,0,160584329.8
https://forgeglobal.com/meati-foods_stock/,Meati,Foodtech,Food Products & Services,2016,Netherlands,,Amersfoort,False,33,286070000.0
https://forgeglobal.com/mechanical-orchard_stock/,Mechanical Orchard,Enterprise Software,Cloud /​ Networking Infrastructure,2022,United States,CA,San Francisco,True,0,85490000.0
https://forgeglobal.com/medable_stock/,Medable,Healthcare,Biotech & Pharma,2012,United States,CA,Palo Alto,True,0,530958465.0
https://forgeglobal.com/medallia_stock/,Medallia,Enterprise Software,Sales & Marketing /​ Adtech,2001,United States,CA,Pleasanton,True,1,338380000.0
https://forgeglobal.com/medallion_stock/,Medallion,Healthcare,Digital Health,2019,United States,CA,San Francisco,True,0,86199999.87
https://forgeglobal.com/medaltv_stock/,Medal.tv,Consumer & Lifestyle,Gaming,2018,Netherlands,,Naarden,False,0,
https://forgeglobal.com/medely_stock/,Medely,Healthcare,Healthcare Software,2016,United States,CA,Los Angeles,True,0,134930000.0
https://forgeglobal.com/medeor-therapeutics_stock/,Medeor Therapeutics,Healthcare,Biotech & Pharma,2012,United States,CA,South San Francisco,True,0,
https://forgeglobal.com/medgenome_stock/,MedGenome,Healthcare,Biotech & Pharma,2013,United States,DE,Wilmington,True,7,
https://forgeglobal.com/medialab-ai_stock/,MediaLab.AI,Enterprise Software,Sales & Marketing /​ Adtech,2018,United States,CA,Santa Monica,True,2,200000000.0
https://forgeglobal.com/mediamath_stock/,MediaMath,Enterprise Software,Sales & Marketing /​ Adtech,2007,United States,NY,New York,True,8,
https://forgeglobal.com/medibeacon_stock/,MediBeacon,Healthcare,Biotech & Pharma,2011,United States,MO,Saint Louis,True,0,110740000.0
https://forgeglobal.com/medium_stock/,Medium,Consumer & Lifestyle,Media,2011,United States,CA,San Francisco,True,4,52020000.0
https://forgeglobal.com/medline-industries_stock/,Medline Industries,Healthcare,Healthcare Providers & Services,1910,United States,IL,Northfield,True,0,
https://forgeglobal.com/medly-pharmacy_stock/,Medly Pharmacy,Healthcare,Healthcare Providers & Services,2018,United States,NJ,Somerville,True,0,297450000.0
https://forgeglobal.com/medrio_stock/,Medrio,Enterprise Software,Other Enterprise Software,2005,United States,CA,San Francisco,True,0,
https://forgeglobal.com/medrobotics_stock/,Medrobotics,Healthcare,Medical Devices,2005,United States,MA,Raynham,True,0,197880000.0
https://forgeglobal.com/medtrainer_stock/,MedTrainer,Education,E-Learning,2013,United States,CA,Redlands,True,2,56360000.0
https://forgeglobal.com/meero_stock/,Meero,Enterprise Software,Other Enterprise Software,2016,France,,Paris,False,0,
https://forgeglobal.com/meesho_stock/,Meesho,Consumer & Lifestyle,Consumer Applications,2015,France,,Paris,False,20,1336400248.16
https://forgeglobal.com/meituan_stock/,Meituan,Consumer & Lifestyle,E-commerce,2010,China,,Beijing,False,0,
https://forgeglobal.com/mejuri_stock/,Mejuri,Consumer & Lifestyle,"Clothing, Fashion, Beauty & Apparel",2013,Canada,,Toronto,False,0,
https://forgeglobal.com/melio_stock/,Melio,Fintech,Payments,2018,United States,NY,New York,True,22,
https://forgeglobal.com/memebox-inc_stock/,MBX,Consumer & Lifestyle,"Clothing, Fashion, Beauty & Apparel",2012,South Korea,,Seoul,False,0,189620000.0
https://forgeglobal.com/memic-innovative-surgery_stock/,Momentis Surgical,Healthcare,Medical Devices,2020,Israel,,Yehuda,False,0,
https://forgeglobal.com/memora-health_stock/,Memora Health,Healthcare,Healthcare Software,2016,United States,CA,San Francisco,True,0,90404996.89
https://forgeglobal.com/memphis-meats_stock/,UPSIDE Foods,Foodtech,Animal-Free Protein,2015,United States,CA,Berkeley,True,10,620190000.0
https://forgeglobal.com/memsql_stock/,SingleStore (MemSQL),Enterprise Software,Data Management /​ Storage,2011,United States,CA,San Francisco,True,20,388780000.0
https://forgeglobal.com/menlo-microsystems_stock/,Menlo Microsystems,Technology Hardware,Computing Hardware,2016,United States,CA,Irvine,True,0,339840000.0
https://forgeglobal.com/menlo-security_stock/,Menlo Security,Enterprise Software,Cybersecurity,2013,United States,CA,Mountain View,True,9,265320000.0
https://forgeglobal.com/meow-wolf_stock/,Meow Wolf,Consumer & Lifestyle,Entertainment,2008,United States,NM,Santa Fe,True,4,530081723.01
https://forgeglobal.com/merama_stock/,Merama,Consumer & Lifestyle,E-commerce Software,2020,United States,TX,Spring,True,0,384970000.0
https://forgeglobal.com/mercator-medsystems_stock/,Mercator MedSystems,Healthcare,Medical Devices,2000,United States,CA,San Leandro,True,0,68550000.0
https://forgeglobal.com/mercor_stock/,Mercor,Enterprise Software,Human Resources,2022,United States,CA,San Francisco,True,0,484689939.46
https://forgeglobal.com/mercury_stock/,Mercury,Fintech,Digital Banking,2017,United States,CA,San Francisco,True,7,609199945.88
https://forgeglobal.com/merge-labs_stock/,Merge Labs,Enterprise Software,Data Intelligence,2025,United States,FL,Miami,True,0,
https://forgeglobal.com/merge_stock/,Merge,Enterprise Software,Business Operations,2020,United States,CA,San Francisco,True,6,74500000.0
https://forgeglobal.com/merit_stock/,Merit,Enterprise Software,Cybersecurity,2015,United States,CA,Sunnyvale,True,0,150560000.0
https://forgeglobal.com/merlin-labs_stock/,Merlin Labs,Transportation,Transportation Software,2018,United States,MA,Boston,True,12,130000000.0
https://forgeglobal.com/merlyn-mind_stock/,Merlyn Mind,Education,Education Software,2018,United States,NY,New York,True,6,133920000.0
https://forgeglobal.com/mesh-optical-technologies_stock/,Mesh Optical Technologies,Healthcare,Other Healthcare,2025,United States,CA,Lawndale,True,0,49995148.54
https://forgeglobal.com/mesh-payments_stock/,Mesh Payments,Fintech,Payments,2018,United States,CA,San Francisco,True,0,
https://forgeglobal.com/mesh_stock/,Mesh,Enterprise Software,Other Enterprise Software,2020,United States,CA,San Francisco,True,0,204039997.46
https://forgeglobal.com/mesosphere_stock/,D2iQ,Enterprise Software,Cloud /​ Networking Infrastructure,2013,United States,CA,San Francisco,True,6,255920000.0
https://forgeglobal.com/messagebird_stock/,Bird,Enterprise Software,Sales & Marketing /​ Adtech,2011,Netherlands,,Amsterdam,False,8,
https://forgeglobal.com/messari_stock/,Messari,Fintech,Blockchain Software,2018,United States,NY,New York,True,0,
https://forgeglobal.com/metabase_stock/,Metabase,Enterprise Software,Data Intelligence,2014,United States,CA,Spring Valley,True,6,
https://forgeglobal.com/metabiota_stock/,Metabiota,Healthcare,Healthcare Providers & Services,2008,United States,CA,San Francisco,True,1,42100000.0
https://forgeglobal.com/metacrine_stock/,Metacrine,Healthcare,Biotech & Pharma,2014,United States,CA,San Diego,True,0,
https://forgeglobal.com/metagenomi_stock/,Metagenomi,Healthcare,Biotech & Pharma,2018,United States,CA,Emeryville,True,5,
https://forgeglobal.com/metamap_stock/,MetaMap,Enterprise Software,Cybersecurity,2017,United States,CA,San Jose,True,0,105819997.16
https://forgeglobal.com/metaplane_stock/,Metaplane,Enterprise Software,Data Intelligence,2019,United States,MA,Somerville,True,11,
https://forgeglobal.com/metawave_stock/,Metawave,Transportation,Transportation Software,2017,United States,CA,Carlsbad,True,0,74170000.0
https://forgeglobal.com/meter_stock/,Meter,Enterprise Software,Cloud /​ Networking Infrastructure,2015,United States,WI,Milwaukee,True,5,304010000.0
https://forgeglobal.com/metricstream_stock/,MetricStream,Enterprise Software,Business Operations,1999,United States,CA,San Jose,True,2,222799951.81
https://forgeglobal.com/metromile_stock/,Metromile,Fintech,Insurance,2011,United States,CA,San Francisco,True,0,286980000.0
https://forgeglobal.com/metronome_stock/,Metronome,Enterprise Software,Data Intelligence,2019,United States,CA,San Francisco,True,7,148230000.0
https://forgeglobal.com/metropolis-technologies_stock/,Metropolis Technologies,Real Estate,Real Estate Products & Services,2017,United States,NY,New York,True,19,1719250000.0
https://forgeglobal.com/meundies_stock/,MeUndies,Consumer & Lifestyle,"Clothing, Fashion, Beauty & Apparel",2011,United States,CA,Los Angeles,True,0,56043250.0
https://forgeglobal.com/mews_stock/,Mews,Enterprise Software,Business Operations,2012,Netherlands,,Amsterdam,False,1,
https://forgeglobal.com/micro1_stock/,micro1,Enterprise Software,Business Operations,2022,United States,CA,Palo Alto,True,0,38288407.42
https://forgeglobal.com/middesk_stock/,Middesk,Enterprise Software,Business Operations,2018,United States,CA,San Francisco,True,0,77255030.0
https://forgeglobal.com/midi-health_stock/,Midi Health,Healthcare,Digital Health,2021,United States,CA,Los Angeles,True,13,251970000.0
https://forgeglobal.com/midjourney_stock/,Midjourney,Enterprise Software,Productivity,2021,United States,CA,San Francisco,True,0,
https://forgeglobal.com/mighty-buildings_stock/,Mighty Buildings,Industrial,Construction,2017,United States,CA,Oakland,True,15,139499997.17
https://forgeglobal.com/mighty-networks_stock/,Mighty Networks,Enterprise Software,Productivity,2010,United States,CA,Palo Alto,True,6,68140000.0
https://forgeglobal.com/mill_stock/,Mill,Foodtech,Food Products & Services,2020,United States,CA,San Bruno,True,0,351330000.0
