URL,Company,Headquarters,Sector,Subsector,Founded,Total Funding,Investors
https://forgeglobal.com/jetzero_stock/,Invest and Sell JetZero Stock - Forge,"Long Beach, CA, United States",Industrial,Aerospace & Defense,2020,,NA
https://forgeglobal.com/jfrog_stock/,Access JFrog Stock and Financial Details - Forge,"Sunnyvale, CA, United States",Enterprise Software,Other Enterprise Software,2008,,NA
https://forgeglobal.com/jiedaibao_stock/,Invest and Sell Jiedaibao Stock - Forge,"Beijing, China",Fintech,Other Fintech,2015,,NA
https://forgeglobal.com/jiko_stock/,Invest and Sell Jiko Stock - Forge,"San Francisco, CA, United States",Fintech,Digital Banking,2016,,"Anthem Venture Partners, Thirdstream Partners, Upfront Ventures, Radicle Impact, Taurus Ventures, Nyca Partners, Social Capital, Bpifrance, La Maison Partners, Airbus Ventures, Ying Fund, Story Ventures, 500 Global, Wafra Investment Advisory Group, Core Innovation Capital, Digital Currency Group, Embark Ventures, Trousdale Ventures"
https://forgeglobal.com/jitterbit_stock/,Invest and Sell Jitterbit Stock - Forge,"Alameda, CA, United States",Enterprise Software,Software Development,2003,,"Samsung Venture Investment, Scopus Ventures, Primera Capital"
https://forgeglobal.com/jnana-therapeutics_stock/,Access Jnana Therapeutics Stock and Financial Details - Forge,"Boston, MA, United States",Healthcare,Biotech & Pharma,2017,,NA
https://forgeglobal.com/jobandtalent_stock/,Invest and Sell Job&Talent Stock - Forge,"Madrid, Spain",Consumer & Lifestyle,Consumer Applications,2009,NA,"Quadrille Capital, Endeavor Catalyst, Softbank Group, Base10 Partners, Kinnevik, Atomico, Seek, Fj Labs, Softbank Investment Advisers, Dn Capital"
https://forgeglobal.com/jobber_stock/,Invest and Sell Jobber Stock - Forge,"Edmonton, Canada",Industrial,Industrial Software,2011,,"Tech Pioneers Fund, Version One Ventures, Omers Ventures, Oneeleven, Point Nine Capital, General Atlantic"
https://forgeglobal.com/jobcase_stock/,Invest and Sell Jobcase Stock - Forge,"Cambridge, MA, United States",Consumer & Lifestyle,Other Consumer & Lifestyle,2009,,NA
https://forgeglobal.com/jobget_stock/,Invest and Sell JobGet Stock - Forge,"Brussels, Belgium",Enterprise Software,Human Resources,2018,,NA
https://forgeglobal.com/jobite_stock/,Access Jobvite Stock and Financial Details - Forge,"Indianapolis, IN, United States",Enterprise Software,Human Resources,2006,,"Cmea Capital, Ata Ventures, Trident Capital, Catalyst Investors"
https://forgeglobal.com/jobox-ai_stock/,Access JOBOX.ai Stock and Financial Details - Forge,"Aventura, FL, United States",Enterprise Software,Data Intelligence,2016,,NA
https://forgeglobal.com/joby-aviation_stock/,Access Joby Aviation Stock and Financial Details - Forge,"Santa Cruz, CA, United States",Industrial,Aerospace & Defense,2009,,"Capricorn Investment Group, Toyota Motor, Sparx Group, Uber, Baillie Gifford"
https://forgeglobal.com/johnnie-o_stock/,Invest and Sell Johnnie-O Stock - Forge,"Los Angeles, CA, United States",Consumer & Lifestyle,"Clothing, Fashion, Beauty & Apparel",2005,,"Wasatch Global Investors, Ares Management, Capricorn Holdings, Victory Park Capital, Circadian"
https://forgeglobal.com/jokr_stock/,Invest and Sell JOKR Stock - Forge,"Luxembourg, Luxembourg",Transportation,Delivery Services,2021,NA,"G Squared, Ggv Capital, Hv Capital, Balderton, Activant Capital, Tiger Global Management, Softbank"
https://forgeglobal.com/jolt_stock/,Invest and Sell Jolt Stock - Forge,"Lehi, UT, United States",Consumer & Lifestyle,Consumer & Lifestyle Enterprise Software,2012,,"Brigham Young University, Album Vc, Sorenson Capital"
https://forgeglobal.com/joor_stock/,Invest and Sell Joor Stock - Forge,"New York, NY, United States",Consumer & Lifestyle,Consumer & Lifestyle Enterprise Software,2010,,NA
https://forgeglobal.com/joy_stock/,Invest and Sell Joy Stock - Forge,"San Francisco, CA, United States",Consumer & Lifestyle,Consumer Applications,2013,,"General Catalyst, Olive Tree Capital, Correlation Ventures, Mvp Ventures, Sound Ventures, Avalon Ventures"
https://forgeglobal.com/juicebox_stock/,Invest and Sell Juicebox Stock - Forge,"San Francisco, CA, United States",Fintech,Other Fintech,2022,,NA
https://forgeglobal.com/jump_stock/,Invest and Sell Jump Stock - Forge,"Salt Lake City, UT, United States",Enterprise Software,Productivity,2022,,NA
https://forgeglobal.com/jumpcloud_stock/,Invest and Sell JumpCloud Stock - Forge,"Louisville, CO, United States",Enterprise Software,Cybersecurity,2012,,"Sapphire Ventures, Foundry Group, Bossanova Investimentos, Ridge Ventures, Ourcrowd, Alumni Ventures"
https://forgeglobal.com/june_stock/,Invest and Sell June Stock - Forge,"San Francisco, CA, United States",Consumer & Lifestyle,Consumer Electronics,2013,,NA
https://forgeglobal.com/juniper-square_stock/,Invest and Sell Juniper Square Stock - Forge,"San Francisco, CA, United States",Real Estate,Real Estate Software,2014,,"Flex Capital, Zigg Capital, Precursor Ventures, Pappy Capital, Felicis Ventures, Ribbit Capital, Ovo Fund, Blue Owl Capital, Red Swan Ventures, Fifth Wall"
https://forgeglobal.com/juno_stock/,Invest and Sell Juno Stock - Forge,"San Francisco, CA, United States",Real Estate,Real Estate Products & Services,2019,,NA
https://forgeglobal.com/jupiterone_stock/,Invest and Sell JupiterOne Stock - Forge,"Durham, NC, United States",Enterprise Software,Cybersecurity,2018,,NA
https://forgeglobal.com/just_stock/,Invest and Sell Eat Just Stock - Forge,"Alameda, CA, United States",Foodtech,Animal-Free Protein,2011,,"Ame Cloud Ventures, Level One Fund, Horizon Ventures, Khosla Ventures, Global Tech Ventures, Ict Capital, Blazing Equity, Qatar Investment Authority, Njf Capital, Founders Fund"
https://forgeglobal.com/justworks_stock/,Invest and Sell Justworks Stock - Forge,"New York, NY, United States",Enterprise Software,Human Resources,2012,,"Index Ventures, Redpoint, Thrive Capital, Union Square Ventures, Latitude, Firstmark, Spark Capital"
https://forgeglobal.com/juul_stock/,Invest and Sell JUUL Stock - Forge,"Washington, DC, United States",Consumer & Lifestyle,Cannabis & Tobacco,2007,,"Ethos Vc, D1 Capital Partners, Northstar.Vc, Fidelity, Investbridge Capital, Altria, Tiger Global Management, Evolution Vc Partners"
https://forgeglobal.com/juvenescence_stock/,Invest and Sell Juvenescence Stock - Forge,"Princeton, NJ, United States",Healthcare,Biotech & Pharma,2018,NA,"Foresite Capital, Gg 1978, Grok Ventures, Ido Investments, Longevity Vision Fund"
